site,plot,plant_date,block,pd,rate,seedlings,canopy_ratio,weed1,weed2,weed3,rye_g,rye_bio,weed_g,weed_bio,sp1,sp2,sp3
ma,101,sep21,1,1,15,11,na,na,na,na,72.9,2916,0,0,,,
ma,102,sep21,1,1,0,0,na,na,na,na,0,0,28.8,1152,CAPBP,ERICA,STEME
ma,103,sep21,1,1,60,22,na,na,na,na,91.55,3662,0,0,,,
ma,104,sep21,1,1,90,44,na,na,na,na,234.7,9388,0,0,,,
ma,105,sep21,1,1,120,52,na,na,na,na,248,9920,0,0,,,
ma,106,sep21,1,1,30,14,na,na,na,na,342.15,13686,0,0,,,
ma,111,nov1,1,3,30,23,na,na,na,na,24.5,980,0,0,,,
ma,112,nov1,1,3,0,0,na,na,na,na,0,0,14.8,592,CHEAL,STEME,CAPBP
ma,113,nov1,1,3,90,97,na,na,na,na,64.05,2562,0,0,,,
ma,114,nov1,1,3,120,109,na,na,na,na,129.05,5162,0,0,,,
ma,115,nov1,1,3,15,8,na,na,na,na,44.25,1770,0,0,,,
ma,116,nov1,1,3,60,38,na,na,na,na,79.95,3198,0,0,,,
ma,121,oct6,1,2,90,92,na,na,na,na,60.7,2428,0,0,,,
ma,122,oct6,1,2,120,72,na,na,na,na,60,2400,0,0,,,
ma,123,oct6,1,2,15,9,na,na,na,na,81.45,3258,0,0,,,
ma,124,oct6,1,2,0,0,na,na,na,na,0,0,34.75,1390,CHEAL,CAPBP,STEME
ma,125,oct6,1,2,30,24,na,na,na,na,179.4,7176,0,0,,,
ma,126,oct6,1,2,60,40,na,na,na,na,182.8,7312,0,0,,,
ma,201,oct6,2,2,15,25,na,na,na,na,122,4880,0,0,,,
ma,202,oct6,2,2,60,35,na,na,na,na,117.05,4682,0,0,,,
ma,203,oct6,2,2,120,104,na,na,na,na,113.1,4524,0,0,,,
ma,204,oct6,2,2,90,85,na,na,na,na,213.75,8550,0,0,,,
ma,205,oct6,2,2,30,27,na,na,na,na,133.55,5342,0,0,,,
ma,206,oct6,2,2,0,0,na,na,na,na,0,0,11.75,470,CHEAL,CAPBP,STEME
ma,211,sep21,2,1,60,22,na,na,na,na,151.8,6072,0,0,,,
ma,212,sep21,2,1,30,26,na,na,na,na,115.9,4636,0,0,,,
ma,213,sep21,2,1,90,60,na,na,na,na,127,5080,0,0,,,
ma,214,sep21,2,1,120,63,na,na,na,na,215,8600,0,0,,,
ma,215,sep21,2,1,15,12,na,na,na,na,150.05,6002,0,0,,,
ma,216,sep21,2,1,0,0,na,na,na,na,0,0,42.3,1692,CAPBP,STEME,
ma,221,nov1,2,3,60,40,na,na,na,na,66.95,2678,0,0,,,
ma,222,nov1,2,3,90,104,na,na,na,na,100.5,4020,0,0,,,
ma,223,nov1,2,3,120,30,na,na,na,na,90.05,3602,0,0,,,
ma,224,nov1,2,3,0,0,na,na,na,na,0,0,21.4,856,CHEAL,STEME,LOLMU
ma,225,nov1,2,3,30,15,na,na,na,na,67.95,2718,0,0,,,
ma,226,nov1,2,3,15,6,na,na,na,na,46.45,1858,0,0,,,
ma,301,nov1,3,3,90,40,na,na,na,na,70.8,2832,0,0,,,
ma,302,nov1,3,3,0,0,na,na,na,na,0,0,13.7,548,CHEAL,STEME,LOLMU
ma,303,nov1,3,3,120,80,na,na,na,na,99.4,3976,0,0,,,
ma,304,nov1,3,3,60,36,na,na,na,na,82.9,3316,0,0,,,
ma,305,nov1,3,3,30,21,na,na,na,na,57.8,2312,0,0,,,
ma,306,nov1,3,3,15,6,na,na,na,na,56.3,2252,0,0,,,
ma,311,oct6,3,2,15,15,na,na,na,na,120.75,4830,0,0,,,
ma,312,oct6,3,2,60,52,na,na,na,na,139.05,5562,0,0,,,
ma,313,oct6,3,2,90,76,na,na,na,na,163.85,6554,0,0,,,
ma,314,oct6,3,2,120,119,na,na,na,na,168.1,6724,0,0,,,
ma,315,oct6,3,2,0,0,na,na,na,na,0,0,26.9,1076,CAPBP,CHEAL,STEME
ma,316,oct6,3,2,30,20,na,na,na,na,135.4,5416,0,0,,,
ma,321,sep21,3,1,0,0,na,na,na,na,0,0,34.65,1386,CAPBP,STEME,
ma,322,sep21,3,1,15,7,na,na,na,na,115,4600,0,0,,,
ma,323,sep21,3,1,120,57,na,na,na,na,142.9,5716,0,0,,,
ma,324,sep21,3,1,90,44,na,na,na,na,189.55,7582,0,0,,,
ma,325,sep21,3,1,30,9,na,na,na,na,13.05,522,0,0,,,
ma,326,sep21,3,1,60,26,na,na,na,na,258,10320,0,0,,,
md,101,oct10,1,1,0,0,0.6496,speedwell,LAMAM,VICVI,0,0,107.3,4292,VICVI,CAPBP,dock
md,102,oct10,1,1,15,13,0.6904,LAMAM,VICVI,STEME,154.6,6184,55.1,2204,VICVI,ANTCO,
md,103,oct10,1,1,30,21,0.8318,LAMAM,STEME,VICVI,278.1,11124,24,960,VICVI,VIOAR,
md,104,oct10,1,1,60,39,0.7392,speedwell,LAMAM,VICVI,186.5,7460,20.8,832,VICVI,ANTCO,VIOAR
md,105,oct10,1,1,90,55,0.6423,speedwell,LAMAM,VICVI,176.4,7056,13.1,524,VICVI,ANTCO,dock
md,106,oct10,1,1,120,74,0.473,VIOAR,speedwell,LAMAM,151.6,6064,34.9,1396,VICVI,ANTCO,VIOAR
md,107,oct21,1,2,0,0,0.4563,LAMAM,speedwell,CAPBP,0,0,58.4,2336,CAPBP,VICVI,VIOAR
md,108,oct21,1,2,120,113,0.7565,VICVI,speedwell,LAMAM,170.8,6832,26.2,1048,VICVI,speedwell,VIOAR
md,109,oct21,1,2,60,57,0.6996,VICVI,LAMAM,speedwell,124.1,4964,16.8,672,VICVI,speedwell,VIOAR
md,110,oct21,1,2,90,93,0.8327,VICVI,LAMAM,STEME,163.7,6548,23.5,940,VICVI,ANTCO,VIOAR
md,111,oct21,1,2,15,16,0.8019,LAMAM,speedwell,STEME,154.8,6192,16.4,656,VICVI,VIOAR,speedwell
md,112,oct21,1,2,30,30,0.8105,speedwell,LAMAM,VICVI,177.1,7084,43.9,1756,VICVI,ANTCO,STEME
md,113,nov10,1,3,15,7,0.3125,LAMAM,speedwell,,125.5,5020,34.1,1364,CAPBP,speedwell,VIOAR
md,114,nov10,1,3,30,11,0.4917,speedwell,LAMAM,,104.2,4168,44.9,1796,VICVI,speedwell,
md,115,nov10,1,3,0,0,0.3432,LAMAM,speedwell,unknown,0,0,66.9,2676,VICVI,CAPBP,speedwell
md,116,nov10,1,3,120,61,0.5848,LAMAM,speedwell,unknown,146.5,5860,16.9,676,VICVI,speedwell,VIOAR
md,117,nov10,1,3,90,42,0.6049,LAMAM,speedwell,,142.6,5704,34.4,1376,VICVI,speedwell,VIOAR
md,118,nov10,1,3,60,29,0.4992,LAMAM,VICVI,VIOAR,111.4,4456,58.3,2332,VICVI,ANTCO,VIOAR
md,201,oct21,2,2,60,51,0.8867,unknown,STEME,,281.2,11248,4.87,194.8,STEME,CARHI,
md,202,oct21,2,2,15,17,0.7381,LAMAM,unknown,speedwell,280.7,11228,6.17,246.8,CAPBP,STEME,THLAR
md,203,oct21,2,2,0,0,0.4238,LAMAM,unknown,speedwell,0,0,60.3,2412,CAPBP,THLAR,STEME
md,204,oct21,2,2,120,107,0.8438,LAMAM,speedwell,STEME,266.5,10660,3.47,138.8,STEME,speedwell,CARHI
md,205,oct21,2,2,90,90,0.8545,STEME,LAMAM,unknown,268.5,10740,1.47,58.8,STEME,THLAR,CARHI
md,206,oct21,2,2,30,28,0.6732,LAMAM,unknown,STEME,333.3,13332,6.37,254.8,STEME,CARHI,THLAR
md,207,nov10,2,3,0,0,0.1377,LAMAM,unknown,,0,0,25.2,1008,LAMAM,CAPBP,STEME
md,208,nov10,2,3,30,3,0.2648,LAMAM,speedwell,STEME,83.8,3352,13.1,524,speedwell,STEME,CAPBP
md,209,nov10,2,3,90,12,0.3526,LAMAM,unknown,,156.4,6256,2.7,108,STEME,CAPBP,speedwell
md,210,nov10,2,3,120,48,0.5402,LAMAM,unknown,speedwell,269.1,10764,2.2,88,CAPBP,THLAR,speedwell
md,211,nov10,2,3,15,0,0.1937,LAMAM,unknown,STEME,130.8,5232,6.3,252,STEME,LAMAM,THLAR
md,212,nov10,2,3,60,14,0.2093,LAMAM,speedwell,unknown,158.7,6348,12,480,STEME,THLAR,speedwell
md,213,oct10,2,1,30,18,0.5048,LAMAM,STEME,unknown,112.3,4492,20.5,820,VICVI,STEME,CARHI
md,214,oct10,2,1,90,72,0.6674,STEME,speedwell,LAMAM,244.3,9772,1.47,58.8,STEME,speedwell,CAPBP
md,215,oct10,2,1,0,0,0.5198,STEME,LAMAM,speedwell,0,0,74.9,2996,CAPBP,THLAR,STEME
md,216,oct10,2,1,60,38,0.6801,STEME,LAMAM,,235.4,9416,0.57,22.8,STEME,CARHI,
md,217,oct10,2,1,15,9,0.3672,LAMAM,STEME,unknown,47.4,1896,14.3,572,CAPBP,STEME,ANTCO
md,218,oct10,3,1,120,59,0.4779,STEME,,,135.5,5420,0.87,34.8,STEME,unknown,
md,301,nov10,3,3,30,22,0.4659,LAMAM,LAMPU,speedwell,43,1720,44.9,1796,VICVI,VIOAR,STEME
md,302,nov10,3,3,15,0,0.5491,LAMAM,LAMPU,THLAR,67.5,2700,35.3,1412,VICVI,CAPBP,STEME
