plot,pd,rate,canopy_percent,canopy_ratio
1.8,1,0,13.79,0.1379
4.2,1,0,4.99,0.0499
6.6,1,0,8.44,0.0844
3.2,1,15,22.92,0.2292
4.6,1,15,43.2,0.432
6.8,1,15,38.15,0.3815
3.8,1,30,58.12,0.5812
5.6,1,30,48.72,0.4872
6.2,1,30,58.05,0.5805
2.6,1,60,50.87,0.5087
5.2,1,60,8.98,0.0898
5.8,1,60,61.54,0.6154
2.2,1,90,60.1,0.601
2.8,1,90,73.06,0.7306
3.6,1,90,55.67,0.5567
1.2,1,120,70.59,0.7059
1.6,1,120,61.59,0.6159
4.8,1,120,62.76,0.6276
3.3,2,0,1.9,0.019
4.7,2,0,1.57,0.0157
6.5,2,0,0.04,0.0004
2.3,2,15,24.53,0.2453
3.5,2,15,17.18,0.1718
5.7,2,15,9.27,0.0927
1.7,2,30,24.86,0.2486
5.5,2,30,22.17,0.2217
6.3,2,30,28.63,0.2863
2.5,2,60,26.35,0.2635
2.7,2,60,26.93,0.2693
5.3,2,60,26.64,0.2664
1.3,2,90,36.13,0.3613
4.5,2,90,25.06,0.2506
6.7,2,90,47.79,0.4779
1.5,2,120,27.98,0.2798
3.7,2,120,39.63,0.3963
4.3,2,120,38.72,0.3872
5.9,3,0,4.54,0.0454
6.1,3,0,3.27,0.0327
6.4,3,0,0.6,0.006
2.1,3,15,13.62,0.1362
3.4,3,15,14.44,0.1444
3.9,3,15,18.97,0.1897
2.4,3,30,11.13,0.1113
3.1,3,30,22.89,0.2289
4.9,3,30,14.17,0.1417
1.1,3,60,27.33,0.2733
2.9,3,60,29.33,0.2933
5.4,3,60,32.32,0.3232
4.1,3,90,37.2,0.372
4.4,3,90,17.52,0.1752
6.9,3,90,32.32,0.3232
1.4,3,120,15.14,0.1514
1.9,3,120,22.29,0.2229
5.1,3,120,12.87,0.1287
