Images,plot,rate,pd,pd_fac,block,canopy_percent,canopy_ratio,,,
PA101-cropped.tif,101,0,22-Oct-21,middle,1,1.56,0.0156,,,
PA102-cropped.tif,102,30,22-Oct-21,middle,1,10.75,0.1075,,,
PA103-cropped.tif,103,90,22-Oct-21,middle,1,47.98,0.4798,,,
PA104-cropped.tif,104,15,22-Oct-21,middle,1,9.3,0.093,,,
PA105-cropped.tif,105,60,22-Oct-21,middle,1,29.25,0.2925,,,
PA106-cropped.tif,106,120,22-Oct-21,middle,1,32.66,0.3266,,,
PA107-cropped.tif,107,120,11-Nov-21,late,1,10.96,0.1096,,,
PA108-cropped.tif,108,0,11-Nov-21,late,1,0.74,0.0074,,,
PA109-cropped.tif,109,30,11-Nov-21,late,1,6.69,0.0669,,,
PA110-cropped.tif,110,60,11-Nov-21,late,1,3.77,0.0377,,,
PA111-cropped.tif,111,90,11-Nov-21,late,1,23.33,0.2333,,,
PA112-cropped.tif,112,15,11-Nov-21,late,1,2.25,0.0225,,,
PA113-cropped.tif,113,90,7-Oct-21,early,1,35.8,0.358,,,
PA114-cropped.tif,114,120,7-Oct-21,early,1,28.99,0.2899,,,
PA115-cropped.tif,115,60,7-Oct-21,early,1,37.56,0.3756,,,
PA116-cropped.tif,116,0,7-Oct-21,early,1,3,0.03,,,
PA117-cropped.tif,117,15,7-Oct-21,early,1,5.69,0.0569,,,
PA118-cropped.tif,118,30,7-Oct-21,early,1,27.84,0.2784,,,
PA201-cropped.tif,201,90,11-Nov-21,late,2,6.18,0.0618,,,
PA202-cropped.tif,202,15,11-Nov-21,late,2,1.44,0.0144,,,
PA203-cropped.tif,203,30,11-Nov-21,late,2,2.6,0.026,,,
PA204-cropped.tif,204,120,11-Nov-21,late,2,20,0.2,,,
PA205-cropped.tif,205,0,11-Nov-21,late,2,0.64,0.0064,,,
PA206-cropped.tif,206,60,11-Nov-21,late,2,6.25,0.0625,,,
PA207-cropped.tif,207,30,7-Oct-21,early,2,7.21,0.0721,,,
PA208-cropped.tif,208,15,7-Oct-21,early,2,2.35,0.0235,,,
PA209-cropped.tif,209,60,7-Oct-21,early,2,51.03,0.5103,,,
PA210-cropped.tif,210,120,7-Oct-21,early,2,39.69,0.3969,,,
PA211-cropped.tif,211,90,7-Oct-21,early,2,48.43,0.4843,,,
PA212-cropped.tif,212,0,7-Oct-21,early,2,1.15,0.0115,,,
PA213-cropped.tif,213,15,22-Oct-21,middle,2,4.1,0.041,,,
PA214-cropped.tif,214,60,22-Oct-21,middle,2,13.32,0.1332,,,
PA215-cropped.tif,215,120,22-Oct-21,middle,2,39.94,0.3994,,,
PA216-cropped.tif,216,90,22-Oct-21,middle,2,21.12,0.2112,,,
PA217-cropped.tif,217,30,22-Oct-21,middle,2,23.53,0.2353,,,
PA218-cropped.tif,218,0,22-Oct-21,middle,2,0.18,0.0018,,,
PA301-cropped.tif,301,0,11-Nov-21,late,3,0.11,0.0011,,,
PA302-cropped.tif,302,90,11-Nov-21,late,3,2.67,0.0267,,,
PA303-cropped.tif,303,30,11-Nov-21,late,3,2.17,0.0217,,,
PA304-cropped.tif,304,60,11-Nov-21,late,3,4.57,0.0457,,,
PA305-cropped.tif,305,15,11-Nov-21,late,3,2.19,0.0219,,,
PA306-cropped.tif,306,120,11-Nov-21,late,3,14.24,0.1424,,,
PA307-cropped.tif,307,15,7-Oct-21,early,3,12.44,0.1244,,,
PA308-cropped.tif,308,0,7-Oct-21,early,3,7.44,0.0744,,,
PA309-cropped.tif,309,90,7-Oct-21,early,3,33.16,0.3316,,,
PA310-cropped.tif,310,30,7-Oct-21,early,3,14.91,0.1491,,,
PA311-cropped.tif,311,60,7-Oct-21,early,3,28.66,0.2866,,,
PA312-cropped.tif,312,120,7-Oct-21,early,3,35.1,0.351,,,
PA313-cropped.tif,313,120,22-Oct-21,middle,3,32.27,0.3227,,,
PA314-cropped.tif,314,60,22-Oct-21,middle,3,17.49,0.1749,,,
PA315-cropped.tif,315,30,22-Oct-21,middle,3,16.05,0.1605,,,
PA316-cropped.tif,316,90,22-Oct-21,middle,3,9.54,0.0954,,,
PA317-cropped.tif,317,15,22-Oct-21,middle,3,3.85,0.0385,,,
PA318-cropped.tif,318,0,22-Oct-21,middle,3,0,0,,,
