plot,pd,rate,canopy_percent,canopy_ratio
101,44459,30,38.83,0.3883
102,44459,120,60.58,0.6058
103,44459,60,52.2,0.522
104,44459,0,8.44,0.0844
105,44459,15,31.47,0.3147
106,44459,90,57.14,0.5714
107,44468,60,36.88,0.3688
108,44468,30,27.42,0.2742
109,44468,0,1.36,0.0136
110,44468,15,23.17,0.2317
111,44468,120,61.29,0.6129
112,44468,90,59.37,0.5937
113,44476,30,6.75,0.0675
114,44476,0,0.01,0.0001
115,44476,120,45.01,0.4501
116,44476,60,31.45,0.3145
117,44476,90,41.76,0.4176
118,44476,15,4.17,0.0417
119,44482,60,9.6,0.096
120,44482,15,3.76,0.0376
121,44482,0,0,0
122,44482,30,6.37,0.0637
123,44482,120,22.69,0.2269
124,44482,90,21.84,0.2184
125,44489,90,2.95,0.0295
126,44489,30,1.15,0.0115
127,44489,15,0.11,0.0011
128,44489,60,1.17,0.0117
129,44489,0,0.01,0.0001
130,44489,120,1.78,0.0178
201,44459,0,2.57,0.0257
202,44459,30,23.89,0.2389
203,44459,90,36.96,0.3696
204,44459,120,36.85,0.3685
205,44459,60,31.78,0.3178
206,44459,15,25.06,0.2506
207,44468,15,11.2,0.112
208,44468,0,0.92,0.0092
209,44468,120,48.6,0.486
210,44468,60,28.12,0.2812
211,44468,90,27.89,0.2789
212,44468,30,22.13,0.2213
213,44476,0,0.06,0.0006
214,44476,30,18.68,0.1868
215,44476,90,44.42,0.4442
216,44476,120,36.52,0.3652
217,44476,15,3.87,0.0387
218,44476,60,28.37,0.2837
219,44482,30,5.39,0.0539
220,44482,60,12.94,0.1294
221,44482,120,15.32,0.1532
222,44482,90,18.04,0.1804
223,44482,0,0.35,0.0035
224,44482,15,1.82,0.0182
225,44489,15,0.08,0.0008
226,44489,120,2.15,0.0215
227,44489,30,1.27,0.0127
228,44489,90,2.15,0.0215
229,44489,60,1.16,0.0116
230,44489,0,0.4,0.004
301,44459,120,45.17,0.4517
302,44459,60,35.31,0.3531
303,44459,90,28.37,0.2837
304,44459,0,3.41,0.0341
305,44459,15,29.05,0.2905
306,44459,30,40,0.4
307,44468,0,0.16,0.0016
308,44468,90,26.54,0.2654
309,44468,30,17.68,0.1768
310,44468,120,45.34,0.4534
311,44468,60,35.85,0.3585
312,44468,15,18.09,0.1809
313,44476,90,26.39,0.2639
314,44476,120,48,0.48
315,44476,15,10.47,0.1047
316,44476,0,0.01,0.0001
317,44476,30,16.21,0.1621
318,44476,60,22.33,0.2233
319,44482,120,27.92,0.2792
320,44482,60,12.72,0.1272
321,44482,30,10.14,0.1014
322,44482,0,0.09,0.0009
323,44482,90,19.38,0.1938
324,44482,15,5.87,0.0587
325,44489,0,0.03,0.0003
326,44489,15,0.19,0.0019
327,44489,60,5.12,0.0512
328,44489,90,5.78,0.0578
329,44489,30,0.74,0.0074
330,44489,120,7.43,0.0743
401,44459,15,32.43,0.3243
402,44459,30,42.28,0.4228
403,44459,90,44.91,0.4491
404,44459,120,59.12,0.5912
405,44459,0,2.13,0.0213
406,44459,60,48.58,0.4858
407,44468,90,41.09,0.4109
408,44468,30,28.06,0.2806
409,44468,60,41.34,0.4134
410,44468,120,34.46,0.3446
411,44468,0,1.19,0.0119
412,44468,15,6.83,0.0683
413,44476,60,26.97,0.2697
414,44476,120,38.71,0.3871
415,44476,30,15.75,0.1575
416,44476,90,27.44,0.2744
417,44476,15,7.24,0.0724
418,44476,0,0.01,0.0001
419,44482,0,0.02,0.0002
420,44482,30,8.06,0.0806
421,44482,120,30.75,0.3075
422,44482,90,17.56,0.1756
423,44482,60,13.05,0.1305
424,44482,15,2.75,0.0275
425,44489,30,0.29,0.0029
426,44489,120,3.66,0.0366
427,44489,60,3.39,0.0339
428,44489,0,0.02,0.0002
429,44489,90,5.15,0.0515
430,44489,15,0.66,0.0066
