site,block,pd,rye_bio,soil_n,soil_pH,soil_p,GDD,rate
de,1,1,3936,na,na,na,1738.78,60
de,1,1,2224,na,na,na,1738.78,120
de,1,1,3176,na,na,na,1738.78,90
de,1,1,2504,na,na,na,1738.78,30
de,1,1,2072,na,na,na,1738.78,10
de,1,1,0,na,na,na,1738.78,0
de,2,1,0,na,na,na,1738.78,0
de,2,1,3120,na,na,na,1738.78,30
de,2,1,2080,na,na,na,1738.78,10
de,2,1,3376,na,na,na,1738.78,90
de,2,1,3760,na,na,na,1738.78,60
de,2,1,3640,na,na,na,1738.78,120
de,3,1,2904,na,na,na,1738.78,10
de,3,1,3096,na,na,na,1738.78,120
de,3,1,0,na,na,na,1738.78,0
de,3,1,5120,na,na,na,1738.78,60
de,3,1,5784,na,na,na,1738.78,30
de,3,1,4632,na,na,na,1738.78,90
de,4,1,4152,na,na,na,1738.78,120
de,4,1,2560,na,na,na,1738.78,10
de,4,1,3408,na,na,na,1738.78,90
de,4,1,0,na,na,na,1738.78,0
de,4,1,5520,na,na,na,1738.78,30
de,4,1,2816,na,na,na,1738.78,60
de,1,2,2568,na,na,na,1357.19,90
de,1,2,0,na,na,na,1357.19,0
de,1,2,2560,na,na,na,1357.19,150
de,1,2,4160,na,na,na,1357.19,60
de,1,2,2824,na,na,na,1357.19,120
de,1,2,3480,na,na,na,1357.19,30
de,1,2,2448,na,na,na,1357.19,10
de,2,2,2056,na,na,na,1357.19,120
de,2,2,2680,na,na,na,1357.19,10
de,2,2,0,na,na,na,1357.19,0
de,2,2,1776,na,na,na,1357.19,30
de,2,2,2864,na,na,na,1357.19,90
de,2,2,1960,na,na,na,1357.19,60
de,2,2,3880,na,na,na,1357.19,150
de,3,2,1952,na,na,na,1357.19,150
de,3,2,2744,na,na,na,1357.19,30
de,3,2,2064,na,na,na,1357.19,120
de,3,2,0,na,na,na,1357.19,0
de,3,2,4856,na,na,na,1357.19,90
de,3,2,2632,na,na,na,1357.19,10
de,3,2,2440,na,na,na,1357.19,60
de,4,2,1328,na,na,na,1357.19,90
de,4,2,1408,na,na,na,1357.19,10
de,4,2,0,na,na,na,1357.19,0
de,4,2,3072,na,na,na,1357.19,150
de,4,2,2432,na,na,na,1357.19,60
de,4,2,2456,na,na,na,1357.19,30
de,4,2,2160,na,na,na,1357.19,120
de,1,3,0,na,na,na,1244.79,0
de,1,3,2880,na,na,na,1244.79,30
de,1,3,2000,na,na,na,1244.79,60
de,1,3,2624,na,na,na,1244.79,120
de,1,3,2008,na,na,na,1244.79,10
de,1,3,3056,na,na,na,1244.79,90
de,1,3,2528,na,na,na,1244.79,150
de,2,3,1712,na,na,na,1244.79,150
de,2,3,2408,na,na,na,1244.79,120
de,2,3,0,na,na,na,1244.79,0
de,2,3,1136,na,na,na,1244.79,60
de,2,3,1592,na,na,na,1244.79,90
de,2,3,1904,na,na,na,1244.79,30
de,2,3,1432,na,na,na,1244.79,10
de,3,3,0,na,na,na,1244.79,0
de,3,3,2416,na,na,na,1244.79,150
de,3,3,2744,na,na,na,1244.79,120
de,3,3,1400,na,na,na,1244.79,10
de,3,3,2912,na,na,na,1244.79,30
de,3,3,2456,na,na,na,1244.79,60
de,3,3,1936,na,na,na,1244.79,90
de,4,3,960,na,na,na,1244.79,30
de,4,3,2728,na,na,na,1244.79,90
de,4,3,1080,na,na,na,1244.79,150
de,4,3,960,na,na,na,1244.79,10
de,4,3,0,na,na,na,1244.79,0
de,4,3,2936,na,na,na,1244.79,120
de,4,3,1280,na,na,na,1244.79,60
ma,1,1,2916,13.058,6.62,499,1528.82,15
ma,1,1,0,13.058,6.62,499,1528.82,0
ma,1,1,3662,13.058,6.62,499,1528.82,60
ma,1,1,9388,13.058,6.62,499,1528.82,90
ma,1,1,9920,13.058,6.62,499,1528.82,120
ma,1,1,13686,13.058,6.62,499,1528.82,30
ma,2,1,6072,13.058,6.62,499,1528.82,60
ma,2,1,4636,13.058,6.62,499,1528.82,30
ma,2,1,5080,13.058,6.62,499,1528.82,90
ma,2,1,8600,13.058,6.62,499,1528.82,120
ma,2,1,6002,13.058,6.62,499,1528.82,15
ma,2,1,0,13.058,6.62,499,1528.82,0
ma,3,1,0,13.058,6.62,499,1528.82,0
ma,3,1,4600,13.058,6.62,499,1528.82,15
ma,3,1,5716,13.058,6.62,499,1528.82,120
ma,3,1,7582,13.058,6.62,499,1528.82,90
ma,3,1,522,13.058,6.62,499,1528.82,30
ma,3,1,10320,13.058,6.62,499,1528.82,60
ma,1,2,2428,7.9085,6.8,478,1265.03,90
ma,1,2,2400,7.9085,6.8,478,1265.03,120
ma,1,2,3258,7.9085,6.8,478,1265.03,15
ma,1,2,0,7.9085,6.8,478,1265.03,0
ma,1,2,7176,7.9085,6.8,478,1265.03,30
ma,1,2,7312,7.9085,6.8,478,1265.03,60
ma,2,2,4880,7.9085,6.8,478,1265.03,15
ma,2,2,4682,7.9085,6.8,478,1265.03,60
ma,2,2,4524,7.9085,6.8,478,1265.03,120
ma,2,2,8550,7.9085,6.8,478,1265.03,90
ma,2,2,5342,7.9085,6.8,478,1265.03,30
ma,2,2,0,7.9085,6.8,478,1265.03,0
ma,3,2,4830,7.9085,6.8,478,1265.03,15
ma,3,2,5562,7.9085,6.8,478,1265.03,60
ma,3,2,6554,7.9085,6.8,478,1265.03,90
ma,3,2,6724,7.9085,6.8,478,1265.03,120
ma,3,2,0,7.9085,6.8,478,1265.03,0
ma,3,2,5416,7.9085,6.8,478,1265.03,30
ma,1,3,980,6.256,6.77,489,908.59,30
ma,1,3,0,6.256,6.77,489,908.59,0
ma,1,3,2562,6.256,6.77,489,908.59,90
ma,1,3,5162,6.256,6.77,489,908.59,120
ma,1,3,1770,6.256,6.77,489,908.59,15
ma,1,3,3198,6.256,6.77,489,908.59,60
ma,2,3,2678,6.256,6.77,489,908.59,60
ma,2,3,4020,6.256,6.77,489,908.59,90
ma,2,3,3602,6.256,6.77,489,908.59,120
ma,2,3,0,6.256,6.77,489,908.59,0
ma,2,3,2718,6.256,6.77,489,908.59,30
ma,2,3,1858,6.256,6.77,489,908.59,15
ma,3,3,2832,6.256,6.77,489,908.59,90
ma,3,3,0,6.256,6.77,489,908.59,0
ma,3,3,3976,6.256,6.77,489,908.59,120
ma,3,3,3316,6.256,6.77,489,908.59,60
ma,3,3,2312,6.256,6.77,489,908.59,30
ma,3,3,2252,6.256,6.77,489,908.59,15
md,1,1,0,13.901,6.58,63,1867.48,0
