site,block,pd,rate,rye_bio,soil_n,soil_pH,soil_p,GDD4.4,GDD42F
de,1,1,60,3936,na,na,na,2017.83,1738.78
de,1,1,120,2224,na,na,na,2017.83,1738.78
de,1,1,90,3176,na,na,na,2017.83,1738.78
de,1,1,30,2504,na,na,na,2017.83,1738.78
de,1,1,10,2072,na,na,na,2017.83,1738.78
de,1,1,0,0,na,na,na,2017.83,1738.78
de,2,1,0,0,na,na,na,2017.83,1738.78
de,2,1,30,3120,na,na,na,2017.83,1738.78
de,2,1,10,2080,na,na,na,2017.83,1738.78
de,2,1,90,3376,na,na,na,2017.83,1738.78
de,2,1,60,3760,na,na,na,2017.83,1738.78
de,2,1,120,3640,na,na,na,2017.83,1738.78
de,3,1,10,2904,na,na,na,2017.83,1738.78
de,3,1,120,3096,na,na,na,2017.83,1738.78
de,3,1,0,0,na,na,na,2017.83,1738.78
de,3,1,60,5120,na,na,na,2017.83,1738.78
de,3,1,30,5784,na,na,na,2017.83,1738.78
de,3,1,90,4632,na,na,na,2017.83,1738.78
de,4,1,120,4152,na,na,na,2017.83,1738.78
de,4,1,10,2560,na,na,na,2017.83,1738.78
de,4,1,90,3408,na,na,na,2017.83,1738.78
de,4,1,0,0,na,na,na,2017.83,1738.78
de,4,1,30,5520,na,na,na,2017.83,1738.78
de,4,1,60,2816,na,na,na,2017.83,1738.78
de,1,2,90,2568,na,na,na,1594.98,1357.19
de,1,2,0,0,na,na,na,1594.98,1357.19
de,1,2,150,2560,na,na,na,1594.98,1357.19
de,1,2,60,4160,na,na,na,1594.98,1357.19
de,1,2,120,2824,na,na,na,1594.98,1357.19
de,1,2,30,3480,na,na,na,1594.98,1357.19
de,1,2,10,2448,na,na,na,1594.98,1357.19
de,2,2,120,2056,na,na,na,1594.98,1357.19
de,2,2,10,2680,na,na,na,1594.98,1357.19
de,2,2,0,0,na,na,na,1594.98,1357.19
de,2,2,30,1776,na,na,na,1594.98,1357.19
de,2,2,90,2864,na,na,na,1594.98,1357.19
de,2,2,60,1960,na,na,na,1594.98,1357.19
de,2,2,150,3880,na,na,na,1594.98,1357.19
de,3,2,150,1952,na,na,na,1594.98,1357.19
de,3,2,30,2744,na,na,na,1594.98,1357.19
de,3,2,120,2064,na,na,na,1594.98,1357.19
de,3,2,0,0,na,na,na,1594.98,1357.19
de,3,2,90,4856,na,na,na,1594.98,1357.19
de,3,2,10,2632,na,na,na,1594.98,1357.19
de,3,2,60,2440,na,na,na,1594.98,1357.19
de,4,2,90,1328,na,na,na,1594.98,1357.19
de,4,2,10,1408,na,na,na,1594.98,1357.19
de,4,2,0,0,na,na,na,1594.98,1357.19
de,4,2,150,3072,na,na,na,1594.98,1357.19
de,4,2,60,2432,na,na,na,1594.98,1357.19
de,4,2,30,2456,na,na,na,1594.98,1357.19
de,4,2,120,2160,na,na,na,1594.98,1357.19
de,1,3,0,0,na,na,na,1459.25,1244.79
de,1,3,30,2880,na,na,na,1459.25,1244.79
de,1,3,60,2000,na,na,na,1459.25,1244.79
de,1,3,120,2624,na,na,na,1459.25,1244.79
de,1,3,10,2008,na,na,na,1459.25,1244.79
de,1,3,90,3056,na,na,na,1459.25,1244.79
de,1,3,150,2528,na,na,na,1459.25,1244.79
de,2,3,150,1712,na,na,na,1459.25,1244.79
de,2,3,120,2408,na,na,na,1459.25,1244.79
de,2,3,0,0,na,na,na,1459.25,1244.79
de,2,3,60,1136,na,na,na,1459.25,1244.79
de,2,3,90,1592,na,na,na,1459.25,1244.79
de,2,3,30,1904,na,na,na,1459.25,1244.79
de,2,3,10,1432,na,na,na,1459.25,1244.79
de,3,3,0,0,na,na,na,1459.25,1244.79
de,3,3,150,2416,na,na,na,1459.25,1244.79
de,3,3,120,2744,na,na,na,1459.25,1244.79
de,3,3,10,1400,na,na,na,1459.25,1244.79
de,3,3,30,2912,na,na,na,1459.25,1244.79
de,3,3,60,2456,na,na,na,1459.25,1244.79
de,3,3,90,1936,na,na,na,1459.25,1244.79
de,4,3,30,960,na,na,na,1459.25,1244.79
de,4,3,90,2728,na,na,na,1459.25,1244.79
de,4,3,150,1080,na,na,na,1459.25,1244.79
de,4,3,10,960,na,na,na,1459.25,1244.79
de,4,3,0,0,na,na,na,1459.25,1244.79
de,4,3,120,2936,na,na,na,1459.25,1244.79
de,4,3,60,1280,na,na,na,1459.25,1244.79
ma,1,1,15,2916,13.058,6.62,499,1776.54,1528.82
ma,1,1,0,0,13.058,6.62,499,1776.54,1528.82
ma,1,1,60,3662,13.058,6.62,499,1776.54,1528.82
ma,1,1,90,9388,13.058,6.62,499,1776.54,1528.82
ma,1,1,120,9920,13.058,6.62,499,1776.54,1528.82
ma,1,1,30,13686,13.058,6.62,499,1776.54,1528.82
ma,2,1,60,6072,13.058,6.62,499,1776.54,1528.82
ma,2,1,30,4636,13.058,6.62,499,1776.54,1528.82
ma,2,1,90,5080,13.058,6.62,499,1776.54,1528.82
ma,2,1,120,8600,13.058,6.62,499,1776.54,1528.82
ma,2,1,15,6002,13.058,6.62,499,1776.54,1528.82
ma,2,1,0,0,13.058,6.62,499,1776.54,1528.82
ma,3,1,0,0,13.058,6.62,499,1776.54,1528.82
ma,3,1,15,4600,13.058,6.62,499,1776.54,1528.82
ma,3,1,120,5716,13.058,6.62,499,1776.54,1528.82
