site,pd,asym,gdd.tot,gdd.f,gdd.sp
pa,1,6247.123,1504.28,563.65,940.63
pa,2,5028.463,1224.28,283.65,940.63
pa,3,3270.931,1074.01,133.38,940.63
ma,1,7514.922,1528.82,762.76,766.06
ma,2,5551.038,1265.03,498.97,766.06
ma,3,3898.399,908.59,142.53,766.06
md,1,8239.257,1867.48,929.34,938.15
md,2,8544.181,1515.98,577.84,938.15
md,3,5508.618,1202.01,263.87,938.15
ny,1,5965.569,1506.39,618.97,887.41
ny,2,4143.54,1105.89,218.47,887.41
ny,3,2645.012,991.07,103.65,887.41
vt,1,6986.707,1369.76,760.46,609.30
vt,2,5570.003,1043.26,433.96,609.30
vt,3,4465.777,800.26,190.96,609.30
vt,1.5,6040.741,1162.26,552.96,609.30
vt,2.5,4503.832,923.26,313.96,609.30
de,1,3762.17,1738.78,733.06,1005.72
de,2,2636.913,1357.19,351.47,1005.72
de,3,2249.782,1244.79,239.08,1005.72
