site,pd,asym,gdd42,gdd40,rate,
pa,1,6247.123,1504.28,1748.76,95.70,
pa,2,5028.463,1224.28,1439.64,48.40,
pa,3,3270.931,1074.01,1258.24,44.60,
ma,1,7514.922,1528.82,1776.54,58.10,
ma,2,5551.038,1265.03,1482.66,29.70,
ma,3,3898.399,908.59,1077.38,118.10,
md,1,8239.257,1867.48,2149.64,46.80,
md,2,8544.181,1515.98,1771.10,19.60,
md,3,5508.618,1202.01,1413.90,68.90,
ny,1,5965.569,1506.39,1743.94,66.10,
ny,2,4143.54,1105.89,1299.76,49.30,
ny,3,2645.012,991.07,1159.45,50.80,
vt,1,6986.707,1369.76,1596.54,44.50,
vt,2,5570.003,1043.26,1234.68,66.70,
vt,3,4465.777,800.26,964.64,139.00,
vt,1.5,6040.741,1162.26,1370.32,82.30,
vt,2.5,4503.832,923.26,1102.20,86.00,
de,1,3762.17,1738.78,2017.83,28.70,
de,2,2636.913,1357.19,1594.98,16.20,
de,3,2249.782,1244.79,1459.25,32.40,
